example_id                                           | status  | run_time        |
---------------------------------------------------- | ------- | --------------- |
./spec/controllers/repos_controller_spec.rb[1:1:1]   | passed  | 0.01721 seconds |
./spec/controllers/repos_controller_spec.rb[1:2:1]   | passed  | 0.02436 seconds |
./spec/controllers/repos_controller_spec.rb[1:3:1]   | passed  | 0.01194 seconds |
./spec/controllers/repos_controller_spec.rb[1:4:1]   | passed  | 0.01712 seconds |
./spec/controllers/repos_controller_spec.rb[1:5:1:1] | passed  | 0.01267 seconds |
./spec/controllers/repos_controller_spec.rb[1:5:1:2] | passed  | 0.01271 seconds |
./spec/controllers/repos_controller_spec.rb[1:5:1:3] | passed  | 0.01253 seconds |
./spec/controllers/repos_controller_spec.rb[1:5:2:1] | passed  | 0.013 seconds   |
./spec/controllers/repos_controller_spec.rb[1:5:2:2] | passed  | 0.01132 seconds |
./spec/controllers/repos_controller_spec.rb[1:6:1:1] | passed  | 0.0127 seconds  |
./spec/controllers/repos_controller_spec.rb[1:6:1:2] | passed  | 0.01567 seconds |
./spec/controllers/repos_controller_spec.rb[1:6:1:3] | passed  | 0.0237 seconds  |
./spec/controllers/repos_controller_spec.rb[1:6:2:1] | passed  | 0.02828 seconds |
./spec/controllers/repos_controller_spec.rb[1:6:2:2] | passed  | 0.01649 seconds |
./spec/controllers/repos_controller_spec.rb[1:7:1]   | passed  | 0.05004 seconds |
./spec/controllers/repos_controller_spec.rb[1:7:2]   | passed  | 0.01455 seconds |
./spec/helpers/repos_helper_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/helpers/welcome_helper_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/models/ability_spec.rb[1:1:1:1]               | passed  | 0.00215 seconds |
./spec/models/ability_spec.rb[1:1:2:1]               | passed  | 0.00818 seconds |
./spec/models/repo_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1:1:1]                  | passed  | 0.00227 seconds |
./spec/models/user_spec.rb[1:1:2:1]                  | passed  | 0.00186 seconds |
./spec/requests/repos_spec.rb[1:1:1]                 | passed  | 0.14743 seconds |
./spec/routing/repos_routing_spec.rb[1:1:1]          | passed  | 0.00084 seconds |
./spec/routing/repos_routing_spec.rb[1:1:2]          | passed  | 0.00136 seconds |
./spec/routing/repos_routing_spec.rb[1:1:3]          | passed  | 0.00059 seconds |
./spec/routing/repos_routing_spec.rb[1:1:4]          | passed  | 0.00101 seconds |
./spec/routing/repos_routing_spec.rb[1:1:5]          | passed  | 0.00056 seconds |
./spec/routing/repos_routing_spec.rb[1:1:6]          | passed  | 0.00093 seconds |
./spec/routing/repos_routing_spec.rb[1:1:7]          | passed  | 0.00069 seconds |
./spec/routing/repos_routing_spec.rb[1:1:8]          | passed  | 0.00063 seconds |
./spec/views/repos/edit.html.erb_spec.rb[1:1]        | passed  | 0.01451 seconds |
./spec/views/repos/index.html.erb_spec.rb[1:1]       | passed  | 0.01825 seconds |
./spec/views/repos/new.html.erb_spec.rb[1:1]         | passed  | 0.05407 seconds |
./spec/views/repos/show.html.erb_spec.rb[1:1]        | passed  | 0.01371 seconds |
